date	CPU 1	CPU 2	CPU 3	CPU 4
568	1.12	2.94	1.94	5.00
569	1.12	2.94	1.94	5.00
570	1.12	2.94	1.94	5.00
571	1.12	2.94	1.94	12.48
572	3.81	5.81	2.00	12.48
573	3.81	5.81	2.00	12.48
574	3.81	5.81	2.00	12.48
575	3.81	5.81	2.00	12.48
576	3.81	5.81	2.00	5.48
577	0.24	4.12	2.00	5.48
578	0.24	4.12	2.00	5.48
579	0.24	4.12	2.00	5.48
580	0.24	4.12	2.00	5.48
581	0.24	4.12	2.00	5.00
582	2.79	4.00	1.07	5.00
583	2.79	4.00	1.07	5.00
584	2.79	4.00	1.07	5.00
585	2.79	4.00	1.07	5.00
586	2.79	4.00	1.07	5.00
587	1.12	2.12	1.94	5.00
588	1.12	2.12	1.94	5.00
589	1.12	2.12	1.94	5.00
590	1.12	2.12	1.94	5.00
591	1.12	2.12	1.94	4.06
592	3.81	0.12	1.06	4.06
593	3.81	0.12	1.06	4.06
594	3.81	0.12	1.06	4.06
595	3.81	0.12	1.06	4.06
596	3.81	0.12	1.06	6.81
597	2.12	0.94	0.06	6.81
598	2.12	0.94	0.06	6.81
599	2.12	0.94	0.06	6.81
600	2.12	0.94	0.06	6.81
601	2.12	0.94	0.06	5.13
602	2.94	0.06	1.87	5.13
603	2.94	0.06	1.87	5.13
604	2.94	0.06	1.87	5.13
605	2.94	0.06	1.87	5.13
606	2.94	0.06	1.87	5.00
607	2.06	0.00	1.06	5.00
608	2.06	0.00	1.06	5.00
609	2.06	0.00	1.06	5.00
610	2.06	0.00	1.06	5.00
611	2.06	0.00	1.06	4.06
612	1.06	3.75	0.06	4.06
613	1.06	3.75	0.06	4.06
614	1.06	3.75	0.06	4.06
615	1.06	3.75	0.06	4.06
616	1.06	3.75	0.06	1.19
617	0.06	3.06	0.00	1.19
618	0.06	3.06	0.00	1.19
619	0.06	3.06	0.00	1.19
620	0.06	3.06	0.00	1.19
621	0.06	3.06	0.00	1.00
622	0.93	2.07	0.93	1.00
623	0.93	2.07	0.93	1.00
624	0.93	2.07	0.93	1.00
625	0.93	2.07	0.93	1.00
626	0.93	2.07	0.93	1.94
627	1.94	1.06	0.06	1.94
628	1.94	1.06	0.06	1.94
