date,CPU 1
2004,0.24
2005,0.24
2006,0.24
2007,0.00
2008,0.00
2009,0.00
2010,0.00
2011,0.00
2012,0.00
2013,0.00
2014,0.00
2015,0.00
2016,0.00
2017,2.81
2018,2.81
2019,2.81
2020,2.81
2021,2.81
2022,0.20
2023,0.20
2024,0.20
2025,0.20
2026,0.20
2027,0.00
2028,0.00
2029,0.00
2030,0.00
2031,0.00
2032,0.00
2033,0.00
2034,0.00
2035,0.00
2036,0.00
2037,0.00
2038,0.00
2039,0.00
2040,0.00
2041,0.00
2042,0.00
2043,0.00
2044,0.00
2045,0.00
2046,0.00
2047,0.00
2048,0.00
2049,0.00
2050,0.00
2051,0.00
2052,0.00
2053,0.00
2054,0.00
2055,0.00
2056,0.00
2057,0.00
2058,0.00
2059,0.00
2060,0.00
2061,0.00
2062,0.00
2063,0.00
2064,0.00
2065,0.00
2066,0.00
2067,0.00
2068,0.00
2069,0.00
2070,0.00
2071,0.00
2072,0.00
2073,0.00
2074,0.00
2075,0.00
2076,0.00
2077,0.94
2078,0.94
2079,0.94
2080,0.94
2081,0.94
2082,0.06
2083,0.06
2084,0.06
2085,0.06
2086,0.06
2087,0.00
2088,0.00
2089,0.00
2090,0.00
2091,0.00
2092,0.00
2093,0.00
2094,0.00
2095,0.00
2096,0.00
2097,0.00
2098,0.00
2099,0.00
2100,0.00
2101,0.00
2102,0.00
2103,0.00
2104,0.00
2105,0.00
2106,0.00
2107,0.93
2108,0.93
2109,0.93
2110,0.93
2111,0.93
2112,0.06
2113,0.06
2114,0.06
2115,0.06
2116,0.06
2117,0.00
2118,0.00
2119,0.00
2120,0.00
2121,0.00
2122,0.00
2123,0.00
2124,0.00
2125,0.00
2126,0.00
2127,0.00
2128,0.00
2129,0.00
2130,0.00
2131,0.00
2132,0.94
2133,0.94
2134,0.94
2135,0.94
2136,0.94
2137,0.06
2138,0.06
